table,data
label,"{""concept_id"": ""motivation"", ""concept_name"": ""Character Motivation"", ""type"": ""element"", ""definition"": ""The why behind choices—desires, fears, and needs that drive action and reaction."", ""scope_notes"": ""Motivation surfaces as SAY, SHOW, or HIDE; potency dials from low→medium→high. Link to desire, choice, consequence, and change."", ""axes"": ""surface|potency"", ""axis_values"": ""say|show|hide | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""drive|decision_style|backstory|identity|tension|body_logic"", ""conflicts_with"": ""on_the_nose|tell_only|resetting|contradiction_without_setup|flatline"", ""positive_examples_ref"": ""ex_motivation_*"", ""non_examples_ref"": ""ex_motivation_weak_*"", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_say"", ""signal_type"": ""textual_cue"", ""axis_value"": ""say"", ""description"": ""Direct admissions, vows, confessions, mission statements that name the why."", ""detection_hint"": ""Listen for explicit goals, fears, loyalties; crisis/clarity beats."", ""false_positive_risks"": ""Boasts with no follow-through; monologues that never affect choices."", ""minimal_example"": ""“I can’t let my family get hurt again.”"", ""counterexample"": ""A motivation speech with zero behavioral echo."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_show"", ""signal_type"": ""textual_cue"", ""axis_value"": ""show"", ""description"": ""Behavior patterns, sacrifices, risks, and habits that reveal the why without naming it."", ""detection_hint"": ""Track repeated acts, costs paid, and choices under pressure."", ""false_positive_risks"": ""Busy action with no consistent thread; coincidence masquerading as motive."", ""minimal_example"": ""She sells the tickets to pay the fee and walks to work for a month."", ""counterexample"": ""Random helpful act that never repeats or costs."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_hide"", ""signal_type"": ""textual_cue"", ""axis_value"": ""hide"", ""description"": ""Denied, masked, or unconscious motive that leaks through contradiction, avoidance, and slips."", ""detection_hint"": ""Evasions, overcompensation, self-sabotage, disproportionate reactions."", ""false_positive_risks"": ""Pure vagueness with no readable clues; red herrings that never resolve."", ""minimal_example"": ""He jokes it off, but circles the date every night before he sleeps."", ""counterexample"": ""Mystery vibes with nothing to infer."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_potency_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Quiet seed: private longings, reversible micro-steps, soft tells."", ""detection_hint"": ""Daydreams, kept objects, tiny detours; low publicness/cost."", ""false_positive_risks"": ""Atmosphere without tie to choice."", ""minimal_example"": ""He saves the flyer but doesn’t call."", ""counterexample"": ""Decorative trinket with no link."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_potency_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Growing fire: voiced wants, concrete steps, risk and resistance; some doubt remains."", ""detection_hint"": ""Schedules change; relationships strain; setbacks met with renewed effort."", ""false_positive_risks"": ""Task montages with total reset."", ""minimal_example"": ""She applies again after a rejection and asks a rival for help."", ""counterexample"": ""Lots of motion but nothing consequential."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""signal_id"": ""sig_potency_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""All-in: irreversible commitments, public stakes, sacrifices; no Plan B."", ""detection_hint"": ""Ultimatums, oaths, burned bridges; consequences persist."", ""false_positive_risks"": ""Spectacle without lasting change."", ""minimal_example"": ""He quits on mic and signs the complaint; friends take sides."", ""counterexample"": ""Big scene then everything returns to normal."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""misconception_id"": ""on_the_nose"", ""description"": ""Over-reliance on speeches that explain motive instead of dramatizing it."", ""tells"": ""Frequent declarations unbacked by behavior."", ""likely_causes"": ""Mistaking clarity for quality."", ""corrective_feedback"": ""Balance SAY with SHOW/HIDE and consequence."", ""micro_drill"": ""Convert a speech into 2 actions + 1 cost."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""misconception_id"": ""tell_only"", ""description"": ""Tells desire without linking to choices or stakes."", ""tells"": ""Bio-style motivation paragraphs."", ""likely_causes"": ""Exposition habit."", ""corrective_feedback"": ""Tie motive to decisions that alter options."", ""micro_drill"": ""Cut 5 tell lines; add 3 decisions with cost."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
label,"{""concept_id"": ""motivation"", ""misconception_id"": ""resetting"", ""description"": ""Choices have no memory; motivation ‘restarts’ each scene."", ""tells"": ""No fallout or persistence."", ""likely_causes"": ""Fear of complexity."", ""corrective_feedback"": ""Carry one cost across three scenes."", ""micro_drill"": ""List 3 sticky consequences; keep one alive."", ""source_file"": ""Character Motivation.md"", ""source_md5"": ""b4b2e204c66a7d2f6d49d86852090793"", ""last_modified_iso"": ""2025-09-30T18:36:25.375658Z""}"
