table,data
label,"{""concept_id"": ""drive"", ""concept_name"": ""Character Drive"", ""type"": ""element"", ""definition"": ""Engine that turns desire into action and habit—the patterned push that keeps a character moving."", ""scope_notes"": ""Surfaces as Declare/Demonstrate/Doubt/Defy; potency scales Low→Medium→High. Track through beats and consequences."", ""axes"": ""mode|potency"", ""axis_values"": ""declare|demonstrate|doubt|defy | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""decision_style|beats|body_logic|backstory|tension"", ""conflicts_with"": ""static_motivation|empty_posture|resetting_consequences|plot_puppetry"", ""positive_examples_ref"": ""ex_drive_*"", ""non_examples_ref"": ""ex_drive_weak_*"", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_declare"", ""signal_type"": ""textual_cue"", ""axis_value"": ""declare"", ""description"": ""Drive put on the record via vow, pledge, ‘from now on,’ or private mantra."", ""detection_hint"": ""Look for explicit commitment language or naming the goal."", ""false_positive_risks"": ""Boasts with no behavioral follow-through."", ""minimal_example"": ""“I’m going to Harvard Law.” / “I will carry it to Mordor.”"", ""counterexample"": ""A hype line no scene honors later."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_demonstrate"", ""signal_type"": ""textual_cue"", ""axis_value"": ""demonstrate"", ""description"": ""Drive shown in action: repeated effort, sacrifice, risk, consistency."", ""detection_hint"": ""Track choices that cost something; look for persistent behavior."", ""false_positive_risks"": ""One grand gesture with no ripple."", ""minimal_example"": ""Training montage grind; showing up early and staying late."", ""counterexample"": ""A single late-night scene with zero after-effects."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_doubt"", ""signal_type"": ""textual_cue"", ""axis_value"": ""doubt"", ""description"": ""Hesitation and self-questioning that complicate pursuit without canceling it."", ""detection_hint"": ""Pauses, reversals, self-sabotage, asking for reassurance."", ""false_positive_risks"": ""Vague moodiness unconnected to decisions."", ""minimal_example"": ""Draft-delete-redraft; asking ‘What if I can’t?’ then trying anyway."", ""counterexample"": ""Sad vibes with identical behavior."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_defy"", ""signal_type"": ""textual_cue"", ""axis_value"": ""defy"", ""description"": ""Refusal to accept limits; pushes back against rules, roles, or gatekeepers."", ""detection_hint"": ""No/Not-this lines; broken patterns; civil disobedience; walk-outs."", ""false_positive_risks"": ""Edgy posture that doesn’t change options."", ""minimal_example"": ""Volunteering for a sister; tearing up the contract; building the suit in secret."", ""counterexample"": ""Snark with no consequence."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_potency_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Quiet flicker: private rituals, soft restlessness, reversible micro-steps."", ""detection_hint"": ""Look for daydreams, saved articles, small detours; low publicness/cost."", ""false_positive_risks"": ""Atmosphere only; no link to choices."", ""minimal_example"": ""Keeping an unsent letter; taking the long way past the clinic."", ""counterexample"": ""Aesthetic props that never matter."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_potency_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Steady push: voiced wants, concrete steps, resistance faced, some risk."", ""detection_hint"": ""Actions that alter schedules/relationships; visible bargaining and persistence."", ""false_positive_risks"": ""Busy activity with no consequences."", ""minimal_example"": ""Applying, training, speaking up, trying again after a miss."", ""counterexample"": ""Montage of tasks with total reset."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""signal_id"": ""sig_potency_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""All-in pursuit: obsession, sacrifice, no Plan B; bridges burned."", ""detection_hint"": ""Public vows; irreversible acts; law/role defiance; single-minded focus."", ""false_positive_risks"": ""Spectacle without lasting change."", ""minimal_example"": ""Burning the letter on the porch while neighbors watch; walking away from safety."", ""counterexample"": ""Explosive scene followed by status quo."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""misconception_id"": ""static_motivation"", ""description"": ""Talks about wants but never converts to action or habit."", ""tells"": ""Speeches with zero follow-through."", ""likely_causes"": ""Confusing motivation with drive."", ""corrective_feedback"": ""Force one demonstrated act with a cost next scene."", ""micro_drill"": ""Add a consequence-bearing action to the speech."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
label,"{""concept_id"": ""drive"", ""misconception_id"": ""empty_posture"", ""description"": ""Defiant tone without changed options or risk."", ""tells"": ""Snark, swagger, or ‘tough’ lines."", ""likely_causes"": ""Style over substance."", ""corrective_feedback"": ""Tie defiance to a door that actually opens/closes."", ""micro_drill"": ""Replace posture with an action that changes stakes."", ""source_file"": ""Character Drive.md"", ""source_md5"": ""5cf0ee7e06cf6f9939b96786a5c9b66c"", ""last_modified_iso"": ""2025-09-30T18:28:55.051508Z""}"
