table,data
label,"{""concept_id"": ""identity"", ""concept_name"": ""Character Identity"", ""type"": ""element"", ""definition"": ""The story a character tells about who they are—roles, loyalties, values, and lines they won’t cross—tested under pressure."", ""scope_notes"": ""Identity is enacted, defended, negotiated, or fractured. Track self-claim vs witnessed behavior. Dials from low→medium→high salience."", ""axes"": ""mode|salience"", ""axis_values"": ""enact|defend|negotiate|fracture | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""drive|decision_style|backstory|voice|change|theme"", ""conflicts_with"": ""mask_only|resetting_labels|plot_puppetry|flat_claims"", ""positive_examples_ref"": ""ex_identity_*"", ""non_examples_ref"": ""ex_identity_weak_*"", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_enact"", ""signal_type"": ""textual_cue"", ""axis_value"": ""enact"", ""description"": ""Behavior proves a claimed identity (choosing loyalty, honoring a code, paying a cost)."", ""detection_hint"": ""Look for choices that align with stated values when inconvenient."", ""false_positive_risks"": ""Virtue-signaling with no cost carried."", ""minimal_example"": ""She returns the cash and names the cashier who skimmed it."", ""counterexample"": ""She posts a slogan and changes nothing."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_defend"", ""signal_type"": ""textual_cue"", ""axis_value"": ""defend"", ""description"": ""Pushback or boundary to preserve identity when it’s threatened."", ""detection_hint"": ""No/Not-this lines; refusals; taking heat to keep the self-image intact."", ""false_positive_risks"": ""Sulky posture that changes nothing."", ""minimal_example"": ""‘I don’t rat.’ He eats the suspension."", ""counterexample"": ""A speech no one believes, followed by cave-in."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_negotiate"", ""signal_type"": ""textual_cue"", ""axis_value"": ""negotiate"", ""description"": ""Identity is bargained or hybridized to meet conflicting roles."", ""detection_hint"": ""Compromises, redefinitions, double-lives, code-switching with stakes."", ""false_positive_risks"": ""Random flip-flopping unlinked to pressure."", ""minimal_example"": ""She wears the badge at work and the hoodie at home, choosing language with care."", ""counterexample"": ""Jokes in one scene, solemn in the next, for no reason."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_fracture"", ""signal_type"": ""outcome_change"", ""axis_value"": ""fracture"", ""description"": ""Break in the story of self: betrayal of value, forced admission, or reinvention."", ""detection_hint"": ""Public contradiction, confession, renunciation; no going back."", ""false_positive_risks"": ""Shock scene with instant reset."", ""minimal_example"": ""He signs the confession that names his brother."", ""counterexample"": ""He ‘betrays’ then the family dinner is normal tomorrow."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_salience_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Identity hums in the background: casual markers, private labels, low-cost alignment."", ""detection_hint"": ""Small choices, quiet rituals; little public stake."", ""false_positive_risks"": ""Atmosphere without link to behavior."", ""minimal_example"": ""He nods at the team crest and straightens it before the game."", ""counterexample"": ""Logo parade with zero choices affected."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_salience_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Identity shapes choices and relationships; visible to others."", ""detection_hint"": ""Taking sides, declining opportunities, code-based decisions."", ""false_positive_risks"": ""Busy activity without consequences."", ""minimal_example"": ""She turns down an easy win because it breaks the code."", ""counterexample"": ""She claims values but cashes the check anyway."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""signal_id"": ""sig_salience_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""Identity becomes the battleground; public, costly, irreversible."", ""detection_hint"": ""Renunciation, oath-taking, outing, whistleblowing; names change."", ""false_positive_risks"": ""Spectacle with full reset."", ""minimal_example"": ""He drops the family name on record and files papers."", ""counterexample"": ""PR stunt that fades next scene."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""misconception_id"": ""mask_only"", ""description"": ""Treating persona/costume as identity without choices that prove it."", ""tells"": ""Cosplay of values."", ""likely_causes"": ""Confusing brand with being."", ""corrective_feedback"": ""Pair markers with paid costs or sacrifices."", ""micro_drill"": ""Add one choice that hurts but aligns with claimed value."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""misconception_id"": ""resetting_labels"", ""description"": ""Self-labels change every scene with no cause or consequence."", ""tells"": ""Whiplash claims."", ""likely_causes"": ""Chasing novelty."", ""corrective_feedback"": ""Tie label shifts to stakes, revelation, or loss; show fallout."", ""micro_drill"": ""Map three scenes: claim→test→shift with cost."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
label,"{""concept_id"": ""identity"", ""misconception_id"": ""plot_puppetry"", ""description"": ""Identity flips to serve the outline, not pressure or truth."", ""tells"": ""OOC ‘betrayal’ for twist."", ""likely_causes"": ""Forgetting pre-signals."", ""corrective_feedback"": ""Seed contradictions; let fracture pay a price."", ""micro_drill"": ""Insert an earlier crack + carry the cost forward."", ""source_file"": ""Character Identity.md"", ""source_md5"": ""f5e97964370a27c4c9cac2cd986fbcf3"", ""last_modified_iso"": ""2025-09-30T18:34:03.468093Z""}"
