table,data
label,"{""concept_id"": ""character_voice"", ""concept_name"": ""Character & Voice"", ""type"": ""element"", ""definition"": ""Voice = pattern of thinking made audible. Devices reveal want, worldview, and flaws in real time."", ""scope_notes"": ""Not accent or vocab list alone; it’s motive + pattern under pressure. Imperfection (‘wrongness’) is diagnostic."", ""axes"": ""device|intent"", ""axis_values"": ""repetition|anticlimax|malapropism|double_entendre|word_salad|pun | deliberate|accidental"", ""prerequisites"": """", ""pairs_well_with"": ""dialogue|beats|subtext|tension"", ""conflicts_with"": ""generic_voice|device_spam|sterile_perfection"", ""positive_examples_ref"": ""ex_voice_*"", ""non_examples_ref"": ""ex_voice_weak_*"", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_repetition_urgency"", ""signal_type"": ""textual_cue"", ""axis_value"": ""repetition|deliberate"", ""description"": ""Echoed words/phrases to push urgency or to be heard."", ""detection_hint"": ""Back-to-back repeats, anaphora, epistrophe, echo questions."", ""false_positive_risks"": ""Padding without intent; comedy catchphrase."", ""minimal_example"": ""“Listen to me—listen.”"", ""counterexample"": ""Random filler repeats with no pressure."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_anticlimax_mask"", ""signal_type"": ""textual_cue"", ""axis_value"": ""anticlimax|deliberate"", ""description"": ""Deflates tension on purpose; dodges sincerity with humor."", ""detection_hint"": ""Build-up then trivial pivot or self-undercut."", ""false_positive_risks"": ""Unintended letdown due to weak stakes."", ""minimal_example"": ""“I love you—kidding. Mostly.”"", ""counterexample"": ""Flat line that never built tension."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_malaprop_ambition"", ""signal_type"": ""textual_cue"", ""axis_value"": ""malapropism|accidental"", ""description"": ""Wrong-but-near word reveals education gap or pretension."", ""detection_hint"": ""Phonetic neighbor used incorrectly."", ""false_positive_risks"": ""Dialect spellings or typos mistaken for malaprop."", ""minimal_example"": ""“A preposterous suppository.”"", ""counterexample"": ""Correct usage: “preposterous supposition.”"", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_double_entendre_worldview"", ""signal_type"": ""textual_cue"", ""axis_value"": ""double_entendre|deliberate"", ""description"": ""Line carries clean surface + sly secondary meaning."", ""detection_hint"": ""Ambiguous phrasing that maps to two intents."", ""false_positive_risks"": ""Unclear wording with no plausible second read."", ""minimal_example"": ""“Nice spread.” (menu / suggestive)"", ""counterexample"": ""Ambiguity that confuses rather than layers."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_word_salad_pressure"", ""signal_type"": ""textual_cue"", ""axis_value"": ""word_salad|accidental"", ""description"": ""Ramble reveals fluster, lying, or cognitive overwhelm."", ""detection_hint"": ""Derailing syntax, filler chains, topic jumps."", ""false_positive_risks"": ""Poetic stream with intentional patterning."", ""minimal_example"": ""“It’s not that, it’s—look, the thing is, because when—just forget it.”"", ""counterexample"": ""Structured associative riff with clear motif."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_pun_playful"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pun|deliberate"", ""description"": ""Wordplay that signals playfulness or lateral linking."", ""detection_hint"": ""Homophone/near-homophone pivot; compounding."", ""false_positive_risks"": ""Unintended rhyme; accidental echo."", ""minimal_example"": ""“Time flies like an arrow; fruit flies like a banana.”"", ""counterexample"": ""Plain homophones with no twist."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""signal_id"": ""sig_wrongness_truth"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Imperfect delivery that reveals want, fear, or blind spot."", ""detection_hint"": ""Fumble, overdo, derail at a pressure point."", ""false_positive_risks"": ""Random error unrelated to character drive."", ""minimal_example"": ""They confess—then joke it away, eyes wet."", ""counterexample"": ""Flawless speech with no personal leakage."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""misconception_id"": ""generic_voice"", ""description"": ""Voice as accent or vocab list; missing motive and pattern."", ""tells"": ""Swapped slang with same decisions and rhythms."", ""likely_causes"": ""Surface-first drafting."", ""corrective_feedback"": ""Tie device to want. Ask: what are they trying to get right now?"", ""micro_drill"": ""Write 3 lines where repetition pushes for a specific goal."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
label,"{""concept_id"": ""character_voice"", ""misconception_id"": ""device_spam"", ""description"": ""Stacking devices without function."", ""tells"": ""Pun+pun+pun, anticlimax every line."", ""likely_causes"": ""Chasing flavor, not motive."", ""corrective_feedback"": ""Pick one device per pressure point; vary elsewhere."", ""micro_drill"": ""Rewrite with one chosen device and one plain line."", ""source_file"": ""Character & Voice.md"", ""source_md5"": ""fd9e821182a5e7456b8b57e589b7185e"", ""last_modified_iso"": ""2025-09-30T17:05:21.701062Z""}"
